date,market,vertical_id,competitor_id,competitor_spend,share_of_voice,category_demand
2025-09-01,PH,rtd_beverages,comp_ph,31339.75,0.425,0.24
2025-10-01,PH,rtd_beverages,comp_ph,30000.0,0.42,0.288
2025-11-01,PH,rtd_beverages,comp_ph,31339.75,0.425,0.35
2025-12-01,PH,rtd_beverages,comp_ph,35000.0,0.44,0.422
2024-01-01,PH,snacks,comp_ph,40000.0,0.46,0.5
2024-02-01,PH,snacks,comp_ph,45000.0,0.48,0.578
2024-03-01,PH,snacks,comp_ph,48660.25,0.495,0.65
2024-04-01,PH,snacks,comp_ph,50000.0,0.5,0.712
2024-05-01,PH,snacks,comp_ph,48660.25,0.495,0.76
2024-06-01,PH,snacks,comp_ph,45000.0,0.48,0.79
2024-07-01,PH,snacks,comp_ph,40000.0,0.46,0.8
2024-08-01,PH,snacks,comp_ph,35000.0,0.44,0.79
2024-09-01,PH,snacks,comp_ph,31339.75,0.425,0.76
2024-10-01,PH,snacks,comp_ph,30000.0,0.42,0.712
2024-11-01,PH,snacks,comp_ph,31339.75,0.425,0.65
2024-12-01,PH,snacks,comp_ph,35000.0,0.44,0.578
2025-01-01,PH,snacks,comp_ph,40000.0,0.46,0.5
2025-02-01,PH,snacks,comp_ph,45000.0,0.48,0.422
2025-03-01,PH,snacks,comp_ph,48660.25,0.495,0.35
2025-04-01,PH,snacks,comp_ph,50000.0,0.5,0.288
2025-05-01,PH,snacks,comp_ph,48660.25,0.495,0.24
2025-06-01,PH,snacks,comp_ph,45000.0,0.48,0.21
2025-07-01,PH,snacks,comp_ph,40000.0,0.46,0.2
2025-08-01,PH,snacks,comp_ph,35000.0,0.44,0.21
2025-09-01,PH,snacks,comp_ph,31339.75,0.425,0.24
2025-10-01,PH,snacks,comp_ph,30000.0,0.42,0.288
2025-11-01,PH,snacks,comp_ph,31339.75,0.425,0.35
2025-12-01,PH,snacks,comp_ph,35000.0,0.44,0.422
2024-01-01,VN,rtd_beverages,comp_vn,40000.0,0.46,0.5
2024-02-01,VN,rtd_beverages,comp_vn,45000.0,0.48,0.578
2024-03-01,VN,rtd_beverages,comp_vn,48660.25,0.495,0.65
2024-04-01,VN,rtd_beverages,comp_vn,50000.0,0.5,0.712
2024-05-01,VN,rtd_beverages,comp_vn,48660.25,0.495,0.76
2024-06-01,VN,rtd_beverages,comp_vn,45000.0,0.48,0.79
2024-07-01,VN,rtd_beverages,comp_vn,40000.0,0.46,0.8
2024-08-01,VN,rtd_beverages,comp_vn,35000.0,0.44,0.79
2024-09-01,VN,rtd_beverages,comp_vn,31339.75,0.425,0.76
2024-10-01,VN,rtd_beverages,comp_vn,30000.0,0.42,0.712
2024-11-01,VN,rtd_beverages,comp_vn,31339.75,0.425,0.65
2024-12-01,VN,rtd_beverages,comp_vn,35000.0,0.44,0.578
2025-01-01,VN,rtd_beverages,comp_vn,40000.0,0.46,0.5
2025-02-01,VN,rtd_beverages,comp_vn,45000.0,0.48,0.422
2025-03-01,VN,rtd_beverages,comp_vn,48660.25,0.495,0.35
2025-04-01,VN,rtd_beverages,comp_vn,50000.0,0.5,0.288
2025-05-01,VN,rtd_beverages,comp_vn,48660.25,0.495,0.24
2025-06-01,VN,rtd_beverages,comp_vn,45000.0,0.48,0.21
2025-07-01,VN,rtd_beverages,comp_vn,40000.0,0.46,0.2
2025-08-01,VN,rtd_beverages,comp_vn,35000.0,0.44,0.21
2025-09-01,VN,rtd_beverages,comp_vn,31339.75,0.425,0.24
2025-10-01,VN,rtd_beverages,comp_vn,30000.0,0.42,0.288
2025-11-01,VN,rtd_beverages,comp_vn,31339.75,0.425,0.35
2025-12-01,VN,rtd_beverages,comp_vn,35000.0,0.44,0.422
2024-01-01,VN,snacks,comp_vn,40000.0,0.46,0.5
2024-02-01,VN,snacks,comp_vn,45000.0,0.48,0.578
2024-03-01,VN,snacks,comp_vn,48660.25,0.495,0.65
2024-04-01,VN,snacks,comp_vn,50000.0,0.5,0.712
2024-05-01,VN,snacks,comp_vn,48660.25,0.495,0.76
2024-06-01,VN,snacks,comp_vn,45000.0,0.48,0.79
2024-07-01,VN,snacks,comp_vn,40000.0,0.46,0.8
2024-08-01,VN,snacks,comp_vn,35000.0,0.44,0.79
2024-09-01,VN,snacks,comp_vn,31339.75,0.425,0.76
2024-10-01,VN,snacks,comp_vn,30000.0,0.42,0.712
2024-11-01,VN,snacks,comp_vn,31339.75,0.425,0.65
2024-12-01,VN,snacks,comp_vn,35000.0,0.44,0.578
2025-01-01,VN,snacks,comp_vn,40000.0,0.46,0.5
2025-02-01,VN,snacks,comp_vn,45000.0,0.48,0.422
2025-03-01,VN,snacks,comp_vn,48660.25,0.495,0.35
2025-04-01,VN,snacks,comp_vn,50000.0,0.5,0.288
2025-05-01,VN,snacks,comp_vn,48660.25,0.495,0.24
2025-06-01,VN,snacks,comp_vn,45000.0,0.48,0.21
2025-07-01,VN,snacks,comp_vn,40000.0,0.46,0.2
2025-08-01,VN,snacks,comp_vn,35000.0,0.44,0.21
2025-09-01,VN,snacks,comp_vn,31339.75,0.425,0.24
2025-10-01,VN,snacks,comp_vn,30000.0,0.42,0.288
2025-11-01,VN,snacks,comp_vn,31339.75,0.425,0.35
2025-12-01,VN,snacks,comp_vn,35000.0,0.44,0.422
