respondent_id,date,market,segment,brand,ad_recall,brand_link,distinctive_asset,trust,value_for_money,premium,fun,personal_relevance,consideration,competitor_salience
R00082,2024-01-08,ID,gen_z,brand_a,1,0,0,2,4,1,2,4,1,1
R00083,2024-01-08,ID,gen_z,brand_a,1,0,1,4,4,1,2,3,0,1
R00084,2024-01-08,ID,gen_z,brand_a,1,1,0,3,5,3,4,3,1,0
R00085,2024-01-08,ID,gen_z,brand_a,1,0,1,3,3,2,2,4,0,1
R00086,2024-01-08,ID,gen_z,brand_a,1,1,0,2,4,3,2,2,1,1
R00087,2024-01-08,ID,gen_z,brand_a,0,0,0,3,1,5,2,1,0,0
R00088,2024-01-08,ID,gen_z,brand_a,0,0,0,3,1,5,2,2,0,1
R00089,2024-01-08,ID,gen_z,brand_a,1,1,1,2,4,4,3,2,1,1
R00090,2024-01-08,ID,gen_z,brand_a,0,0,0,1,1,4,2,2,1,1
R00091,2024-01-08,ID,millennial,brand_a,1,1,1,4,3,3,2,3,1,0
R00092,2024-01-08,ID,millennial,brand_a,1,1,1,4,2,2,4,4,1,0
R00093,2024-01-08,ID,millennial,brand_a,0,0,0,4,4,3,2,3,1,1
R00094,2024-01-08,ID,millennial,brand_a,0,1,1,4,3,3,3,2,0,1
R00095,2024-01-08,ID,millennial,brand_a,0,0,1,4,2,3,4,3,0,0
R00096,2024-01-08,ID,millennial,brand_a,0,0,0,2,3,3,1,2,0,0
R00097,2024-01-08,ID,millennial,brand_a,1,0,1,2,2,4,3,3,0,0
R00098,2024-01-08,ID,millennial,brand_a,1,1,1,3,2,3,2,4,0,1
R00099,2024-01-08,ID,millennial,brand_a,1,1,1,5,4,3,5,3,1,0
R00100,2024-01-08,ID,millennial,brand_a,0,1,1,4,2,2,3,2,0,1
R00101,2024-01-08,ID,millennial,brand_a,1,0,0,3,3,4,3,2,0,0
R00102,2024-01-08,ID,millennial,brand_a,0,0,1,3,4,4,3,2,0,0
R00103,2024-01-08,ID,millennial,brand_a,1,0,0,2,3,4,4,2,0,1
R00104,2024-01-08,ID,millennial,brand_a,0,0,1,3,4,2,2,2,0,1
R00105,2024-01-08,ID,millennial,brand_a,1,0,1,2,4,2,3,3,0,1
R00106,2024-01-08,ID,millennial,brand_a,0,1,0,3,2,4,3,2,0,1
R00107,2024-01-08,ID,millennial,brand_a,1,1,1,3,4,2,4,3,0,0
R00108,2024-01-08,ID,millennial,brand_a,1,0,0,3,3,3,3,3,0,1
R00109,2024-01-08,ID,family,brand_a,1,0,0,3,4,3,3,3,1,0
R00110,2024-01-08,ID,family,brand_a,0,1,1,3,4,3,3,3,0,1
R00111,2024-01-08,ID,family,brand_a,0,1,1,3,2,3,3,4,0,0
R00112,2024-01-08,ID,family,brand_a,1,0,1,5,4,2,4,5,1,0
R00113,2024-01-08,ID,family,brand_a,1,1,1,3,2,3,3,4,1,1
R00114,2024-01-08,ID,family,brand_a,0,0,0,3,1,5,3,2,0,1
R00115,2024-01-08,ID,family,brand_a,0,0,1,1,1,4,2,2,0,1
R00116,2024-01-08,ID,family,brand_a,0,0,0,1,3,3,1,3,0,0
R00117,2024-01-08,ID,family,brand_a,1,0,1,3,2,4,3,1,0,0
R00118,2024-01-08,ID,family,brand_a,1,1,1,4,4,2,2,3,1,1
R00119,2024-01-08,ID,family,brand_a,0,0,0,3,2,5,2,2,1,1
R00120,2024-01-08,ID,family,brand_a,1,0,0,4,3,1,5,3,1,0
R00121,2024-01-08,ID,family,brand_a,0,0,0,2,2,4,2,1,1,1
R00122,2024-01-08,ID,family,brand_a,1,1,1,2,2,5,1,1,0,0
R00123,2024-01-08,ID,family,brand_a,1,1,1,2,2,3,2,3,0,1
R00124,2024-01-08,ID,family,brand_a,1,1,1,4,4,2,4,3,1,1
R00125,2024-01-08,ID,family,brand_a,1,0,1,2,2,4,3,3,0,0
R00126,2024-01-08,ID,family,brand_a,1,1,0,4,4,2,4,2,1,0
R00127,2024-01-08,ID,premium_seekers,brand_a,1,0,0,2,3,3,3,2,0,1
R00128,2024-01-08,ID,premium_seekers,brand_a,0,0,1,1,2,4,1,1,1,1
R00129,2024-01-08,ID,premium_seekers,brand_a,0,1,0,2,4,4,1,2,1,1
R00130,2024-01-08,ID,premium_seekers,brand_a,1,1,1,2,3,2,4,2,0,1
R00131,2024-01-08,ID,premium_seekers,brand_a,0,1,0,1,3,5,4,2,1,1
R00132,2024-01-08,ID,premium_seekers,brand_a,0,0,0,2,2,4,1,1,1,1
R00133,2024-01-08,ID,premium_seekers,brand_a,1,1,0,2,3,4,3,3,0,1
R00134,2024-01-08,ID,premium_seekers,brand_a,1,0,1,2,3,3,2,2,1,1
R00135,2024-01-08,ID,premium_seekers,brand_a,0,0,1,4,5,3,5,3,1,1
R00136,2024-01-08,ID,premium_seekers,brand_a,0,1,1,4,5,2,4,4,1,0
R00137,2024-01-08,ID,premium_seekers,brand_a,0,0,1,2,3,4,3,3,0,0
R00138,2024-01-08,ID,premium_seekers,brand_a,0,1,0,2,2,5,2,1,0,1
R00139,2024-01-08,ID,premium_seekers,brand_a,0,1,0,3,2,3,3,3,1,1
R00140,2024-01-08,ID,premium_seekers,brand_a,0,1,1,4,5,2,4,3,0,0
R00141,2024-01-08,ID,premium_seekers,brand_a,0,0,0,3,1,4,2,2,1,0
R00142,2024-01-08,ID,premium_seekers,brand_a,0,1,0,1,1,5,2,1,0,1
R00143,2024-01-08,ID,premium_seekers,brand_a,1,1,1,2,4,2,2,2,0,0
R00144,2024-01-08,ID,premium_seekers,brand_a,1,0,1,2,3,4,4,3,1,1
R00145,2024-01-15,ID,gen_z,brand_a,1,1,1,2,3,3,2,4,0,0
R00146,2024-01-15,ID,gen_z,brand_a,1,0,1,4,4,3,2,3,0,1
R00147,2024-01-15,ID,gen_z,brand_a,1,0,0,2,1,3,2,3,1,0
R00148,2024-01-15,ID,gen_z,brand_a,1,0,0,3,3,2,2,3,0,1
R00149,2024-01-15,ID,gen_z,brand_a,0,1,0,2,2,3,2,2,0,1
R00150,2024-01-15,ID,gen_z,brand_a,0,1,0,2,2,2,1,2,0,1
R00151,2024-01-15,ID,gen_z,brand_a,0,1,0,3,3,4,3,2,1,1
R00152,2024-01-15,ID,gen_z,brand_a,0,0,0,2,2,3,1,1,0,1
R00153,2024-01-15,ID,gen_z,brand_a,1,1,1,2,4,2,2,3,1,0
R00154,2024-01-15,ID,gen_z,brand_a,1,0,0,4,3,3,3,3,1,0
R00155,2024-01-15,ID,gen_z,brand_a,0,0,0,2,2,4,3,2,0,1
R00156,2024-01-15,ID,gen_z,brand_a,0,0,0,4,4,3,3,4,1,0
R00157,2024-01-15,ID,gen_z,brand_a,1,1,0,4,3,2,3,2,1,0
R00158,2024-01-15,ID,gen_z,brand_a,0,1,0,4,3,3,2,4,1,0
R00159,2024-01-15,ID,gen_z,brand_a,1,0,1,5,4,2,3,4,1,0
R00160,2024-01-15,ID,gen_z,brand_a,0,0,1,3,2,4,3,3,0,1
R00161,2024-01-15,ID,gen_z,brand_a,1,1,0,5,2,3,3,3,0,0
R00162,2024-01-15,ID,gen_z,brand_a,0,1,0,2,2,4,4,3,0,0
R00163,2024-01-15,ID,millennial,brand_a,0,1,0,2,2,5,1,2,1,1
R00164,2024-01-15,ID,millennial,brand_a,0,0,1,3,2,3,2,2,0,1
R00165,2024-01-15,ID,millennial,brand_a,0,0,1,2,1,3,1,2,1,1
R00166,2024-01-15,ID,millennial,brand_a,0,0,0,3,2,3,2,3,0,1
R00167,2024-01-15,ID,millennial,brand_a,0,1,0,3,3,3,3,1,0,1
R00168,2024-01-15,ID,millennial,brand_a,1,1,0,1,2,3,3,3,0,1
R00169,2024-01-15,ID,millennial,brand_a,1,0,1,3,3,2,4,4,1,1
R00170,2024-01-15,ID,millennial,brand_a,0,0,1,3,2,3,4,1,0,0
R00171,2024-01-15,ID,millennial,brand_a,0,0,1,3,1,4,2,2,1,1
R00172,2024-01-15,ID,millennial,brand_a,0,0,0,3,2,5,3,1,0,1
R00173,2024-01-15,ID,millennial,brand_a,0,0,0,2,2,5,1,2,0,0
R00174,2024-01-15,ID,millennial,brand_a,0,1,1,2,2,3,1,3,1,0
R00175,2024-01-15,ID,millennial,brand_a,0,1,1,3,3,3,2,4,1,1
R00176,2024-01-15,ID,millennial,brand_a,0,0,0,2,1,4,3,2,0,0
R00177,2024-01-15,ID,millennial,brand_a,0,0,0,4,4,2,3,2,0,1
R00178,2024-01-15,ID,millennial,brand_a,0,1,1,3,5,3,2,4,1,0
R00179,2024-01-15,ID,millennial,brand_a,1,0,0,3,2,2,4,4,1,0
R00180,2024-01-15,ID,millennial,brand_a,0,1,0,3,3,3,4,4,1,0
R00181,2024-01-15,ID,family,brand_a,1,0,1,4,3,3,1,3,0,0
R00182,2024-01-15,ID,family,brand_a,0,1,0,2,4,3,4,3,0,0
R00183,2024-01-15,ID,family,brand_a,0,1,1,2,3,3,2,2,0,1
R00184,2024-01-15,ID,family,brand_a,0,1,1,4,4,2,4,4,1,1
R00185,2024-01-15,ID,family,brand_a,0,1,0,1,3,4,2,2,0,1
R00186,2024-01-15,ID,family,brand_a,0,0,1,2,2,4,2,3,0,0
R00187,2024-01-15,ID,family,brand_a,0,0,1,3,2,2,1,3,1,1
R00188,2024-01-15,ID,family,brand_a,0,0,0,1,1,4,3,1,0,0
R00189,2024-01-15,ID,family,brand_a,1,0,0,3,1,4,2,2,1,0
R00190,2024-01-15,ID,family,brand_a,0,0,0,3,1,3,3,3,0,1
R00191,2024-01-15,ID,family,brand_a,0,0,0,3,3,3,4,4,1,0
R00192,2024-01-15,ID,family,brand_a,1,1,0,3,4,3,2,3,0,1
R00193,2024-01-15,ID,family,brand_a,1,0,0,1,3,3,3,2,1,1
R00194,2024-01-15,ID,family,brand_a,0,0,0,2,2,3,2,2,0,1
R00195,2024-01-15,ID,family,brand_a,1,1,0,3,4,1,4,2,0,0
R00196,2024-01-15,ID,family,brand_a,1,0,0,1,2,5,1,2,0,1
R00197,2024-01-15,ID,family,brand_a,0,0,0,3,4,2,4,4,1,0
R00198,2024-01-15,ID,family,brand_a,1,0,1,3,3,3,3,4,0,1
R00199,2024-01-15,ID,premium_seekers,brand_a,0,1,0,1,2,4,2,2,1,0
R00200,2024-01-15,ID,premium_seekers,brand_a,0,1,0,2,3,4,3,2,0,1
R00201,2024-01-15,ID,premium_seekers,brand_a,1,1,1,2,3,4,3,2,0,0
R00202,2024-01-15,ID,premium_seekers,brand_a,1,0,1,2,3,3,4,3,0,1
R00203,2024-01-15,ID,premium_seekers,brand_a,1,0,0,2,2,5,2,2,0,1
R00204,2024-01-15,ID,premium_seekers,brand_a,1,0,0,2,2,5,2,1,0,1
R00205,2024-01-15,ID,premium_seekers,brand_a,1,0,0,2,2,3,2,3,0,1
R00206,2024-01-15,ID,premium_seekers,brand_a,1,1,1,4,5,3,4,3,1,0
R00207,2024-01-15,ID,premium_seekers,brand_a,0,0,0,1,2,5,2,2,0,0
R00208,2024-01-15,ID,premium_seekers,brand_a,1,0,0,3,2,2,4,3,1,0
R00209,2024-01-15,ID,premium_seekers,brand_a,0,1,0,3,2,4,1,2,1,1
R00210,2024-01-15,ID,premium_seekers,brand_a,0,1,1,2,3,3,3,2,1,0
R00211,2024-01-15,ID,premium_seekers,brand_a,0,1,0,2,2,4,1,2,0,1
R00212,2024-01-15,ID,premium_seekers,brand_a,0,1,0,2,1,5,3,3,1,0
R00213,2024-01-15,ID,premium_seekers,brand_a,1,1,1,5,4,1,4,4,0,0
R00214,2024-01-15,ID,premium_seekers,brand_a,1,1,1,4,4,3,4,3,1,1
R00215,2024-01-15,ID,premium_seekers,brand_a,0,0,0,3,1,4,1,3,0,0
R00216,2024-01-15,ID,premium_seekers,brand_a,1,0,1,3,3,2,3,2,1,0
R00217,2024-01-22,ID,gen_z,brand_a,1,1,1,4,4,1,4,4,1,1
R00218,2024-01-22,ID,gen_z,brand_a,1,1,0,1,2,3,2,2,0,1
R00219,2024-01-22,ID,gen_z,brand_a,0,0,1,3,4,2,4,4,1,1
R00220,2024-01-22,ID,gen_z,brand_a,1,1,1,3,2,3,3,3,1,0
R00221,2024-01-22,ID,gen_z,brand_a,1,0,0,2,2,4,2,2,0,1
R00222,2024-01-22,ID,gen_z,brand_a,0,1,0,3,3,3,3,5,0,1
R00223,2024-01-22,ID,gen_z,brand_a,0,0,1,2,3,3,1,1,0,1
R00224,2024-01-22,ID,gen_z,brand_a,0,0,0,2,1,3,2,2,1,1
R00225,2024-01-22,ID,gen_z,brand_a,0,0,0,2,2,4,3,3,0,0
R00226,2024-01-22,ID,gen_z,brand_a,1,0,1,1,3,5,2,1,0,1
R00227,2024-01-22,ID,gen_z,brand_a,1,1,1,2,1,5,2,3,1,1
R00228,2024-01-22,ID,gen_z,brand_a,1,1,0,3,3,3,2,2,0,1
R00229,2024-01-22,ID,gen_z,brand_a,1,0,0,3,2,2,4,4,1,0
R00230,2024-01-22,ID,gen_z,brand_a,0,0,0,1,2,4,2,2,1,1
R00231,2024-01-22,ID,gen_z,brand_a,0,0,0,5,3,3,2,3,0,0
R00232,2024-01-22,ID,gen_z,brand_a,0,0,1,3,3,3,2,4,1,1
R00233,2024-01-22,ID,gen_z,brand_a,1,0,1,2,2,2,3,2,1,1
R00234,2024-01-22,ID,gen_z,brand_a,1,0,1,2,4,3,2,2,0,1
R00235,2024-01-22,ID,millennial,brand_a,0,1,0,4,3,3,3,2,1,1
R00236,2024-01-22,ID,millennial,brand_a,1,1,0,3,2,4,1,2,0,1
R00237,2024-01-22,ID,millennial,brand_a,0,1,1,4,4,1,5,4,1,0
R00238,2024-01-22,ID,millennial,brand_a,0,0,0,3,2,4,2,4,1,0
R00239,2024-01-22,ID,millennial,brand_a,1,1,1,4,5,2,3,2,1,0
R00240,2024-01-22,ID,millennial,brand_a,0,0,0,2,3,4,2,2,0,1
R00241,2024-01-22,ID,millennial,brand_a,0,0,0,1,2,4,2,3,0,1
R00242,2024-01-22,ID,millennial,brand_a,1,0,1,3,1,3,2,2,0,1
R00243,2024-01-22,ID,millennial,brand_a,1,1,1,4,4,1,3,2,1,0
R00244,2024-01-22,ID,millennial,brand_a,0,0,0,2,1,4,3,1,0,1
R00245,2024-01-22,ID,millennial,brand_a,0,0,0,3,2,4,2,2,0,1
R00246,2024-01-22,ID,millennial,brand_a,0,1,0,3,3,2,2,3,0,0
R00247,2024-01-22,ID,millennial,brand_a,0,0,1,4,3,2,2,4,0,1
R00248,2024-01-22,ID,millennial,brand_a,0,0,0,3,3,3,2,3,1,1
R00249,2024-01-22,ID,millennial,brand_a,0,1,0,3,3,4,4,4,1,0
R00250,2024-01-22,ID,millennial,brand_a,0,0,0,1,4,3,2,3,0,1
R00251,2024-01-22,ID,millennial,brand_a,1,1,1,4,3,4,3,3,1,0
R00252,2024-01-22,ID,millennial,brand_a,1,0,1,3,4,4,3,4,1,1
R00253,2024-01-22,ID,family,brand_a,0,0,0,3,2,3,3,2,0,1
R00254,2024-01-22,ID,family,brand_a,0,1,0,3,2,4,3,4,0,1
R00255,2024-01-22,ID,family,brand_a,0,0,0,1,1,5,1,2,0,1
R00256,2024-01-22,ID,family,brand_a,1,0,1,5,4,1,4,4,1,1
R00257,2024-01-22,ID,family,brand_a,0,0,0,2,2,3,2,2,0,1
R00258,2024-01-22,ID,family,brand_a,0,0,0,1,2,4,2,1,0,1
R00259,2024-01-22,ID,family,brand_a,1,0,0,4,4,3,3,4,0,1
R00260,2024-01-22,ID,family,brand_a,1,1,0,3,2,4,3,3,0,1
R00261,2024-01-22,ID,family,brand_a,1,0,1,3,1,3,2,2,1,1
R00262,2024-01-22,ID,family,brand_a,0,0,1,4,2,4,1,4,1,0
R00263,2024-01-22,ID,family,brand_a,0,0,1,2,3,3,2,2,0,1
R00264,2024-01-22,ID,family,brand_a,0,0,0,1,1,5,1,2,0,1
R00265,2024-01-22,ID,family,brand_a,1,1,1,4,5,1,4,3,1,1
R00266,2024-01-22,ID,family,brand_a,1,0,0,3,3,2,4,4,0,0
R00267,2024-01-22,ID,family,brand_a,1,0,1,3,4,3,4,4,1,0
R00268,2024-01-22,ID,family,brand_a,0,0,0,3,4,3,2,3,1,1
R00269,2024-01-22,ID,family,brand_a,1,0,0,3,3,3,4,4,1,0
R00270,2024-01-22,ID,family,brand_a,1,1,1,5,2,3,5,2,0,1
R00271,2024-01-22,ID,premium_seekers,brand_a,0,0,0,3,3,4,1,1,0,1
R00272,2024-01-22,ID,premium_seekers,brand_a,1,1,1,4,4,4,3,4,1,0
R00273,2024-01-22,ID,premium_seekers,brand_a,0,1,1,2,2,5,2,3,1,0
R00274,2024-01-22,ID,premium_seekers,brand_a,0,0,0,2,2,4,2,2,0,1
R00275,2024-01-22,ID,premium_seekers,brand_a,1,0,1,2,2,3,1,4,1,0
R00276,2024-01-22,ID,premium_seekers,brand_a,0,1,0,4,4,3,2,3,0,1
R00277,2024-01-22,ID,premium_seekers,brand_a,1,0,0,2,2,4,4,1,1,1
R00278,2024-01-22,ID,premium_seekers,brand_a,0,0,0,3,3,3,4,3,1,0
R00279,2024-01-22,ID,premium_seekers,brand_a,0,1,0,3,3,3,3,4,0,1
R00280,2024-01-22,ID,premium_seekers,brand_a,0,1,0,3,3,3,2,3,0,1
R00281,2024-01-22,ID,premium_seekers,brand_a,1,1,1,2,3,2,2,4,0,0
R00282,2024-01-22,ID,premium_seekers,brand_a,1,0,0,2,2,4,3,3,1,1
R00283,2024-01-22,ID,premium_seekers,brand_a,1,0,1,3,5,4,3,4,1,0
R00284,2024-01-22,ID,premium_seekers,brand_a,0,0,0,2,3,5,3,2,0,1
R00285,2024-01-22,ID,premium_seekers,brand_a,0,0,0,2,2,3,3,3,0,0
R00286,2024-01-22,ID,premium_seekers,brand_a,1,0,1,2,4,2,5,5,0,0
R00287,2024-01-22,ID,premium_seekers,brand_a,0,0,1,1,2,4,3,2,1,1
R00288,2024-01-22,ID,premium_seekers,brand_a,0,1,1,4,2,1,3,3,0,1
R00289,2024-01-29,ID,gen_z,brand_a,0,0,0,2,2,5,2,2,0,1
R00290,2024-01-29,ID,gen_z,brand_a,0,1,0,2,1,5,2,2,0,1
R00291,2024-01-29,ID,gen_z,brand_a,1,0,0,1,3,4,3,3,0,1
R00292,2024-01-29,ID,gen_z,brand_a,0,0,0,2,2,4,2,1,0,1
R00293,2024-01-29,ID,gen_z,brand_a,0,0,0,1,1,3,2,2,0,1
R00294,2024-01-29,ID,gen_z,brand_a,1,1,0,3,4,3,2,2,1,0
R00295,2024-01-29,ID,gen_z,brand_a,1,1,1,5,4,3,4,3,0,1
R00296,2024-01-29,ID,gen_z,brand_a,1,0,0,5,2,3,2,3,0,1
R00297,2024-01-29,ID,gen_z,brand_a,0,0,1,4,2,3,4,3,0,1
R00298,2024-01-29,ID,gen_z,brand_a,1,1,0,5,3,2,4,4,1,0
R00299,2024-01-29,ID,gen_z,brand_a,0,0,0,2,3,3,3,3,0,1
R00300,2024-01-29,ID,gen_z,brand_a,1,1,0,4,5,1,2,5,1,0
R00301,2024-01-29,ID,gen_z,brand_a,0,0,1,3,3,4,4,4,0,0
R00302,2024-01-29,ID,gen_z,brand_a,1,1,1,4,3,3,3,3,1,0
R00303,2024-01-29,ID,gen_z,brand_a,0,1,0,3,3,4,1,2,0,1
R00304,2024-01-29,ID,gen_z,brand_a,0,0,0,2,2,4,2,2,0,1
R00305,2024-01-29,ID,gen_z,brand_a,1,0,0,1,3,3,3,3,0,0
R00306,2024-01-29,ID,gen_z,brand_a,1,0,0,2,3,3,1,1,1,1
R00307,2024-01-29,ID,millennial,brand_a,1,0,0,2,2,3,3,3,1,0
R00308,2024-01-29,ID,millennial,brand_a,1,1,0,2,1,5,2,3,0,1
R00309,2024-01-29,ID,millennial,brand_a,0,0,0,2,2,5,2,2,0,1
R00310,2024-01-29,ID,millennial,brand_a,0,1,1,3,3,3,4,4,0,0
R00311,2024-01-29,ID,millennial,brand_a,0,0,0,2,2,4,2,2,0,1
R00312,2024-01-29,ID,millennial,brand_a,0,0,1,4,4,1,5,3,1,0
R00313,2024-01-29,ID,millennial,brand_a,0,0,1,2,3,4,2,4,0,0
R00314,2024-01-29,ID,millennial,brand_a,0,0,0,2,2,3,3,3,0,1
R00315,2024-01-29,ID,millennial,brand_a,1,1,1,3,3,2,4,4,1,1
R00316,2024-01-29,ID,millennial,brand_a,0,1,0,1,1,5,1,1,0,1
R00317,2024-01-29,ID,millennial,brand_a,0,1,0,1,3,3,4,1,1,0
R00318,2024-01-29,ID,millennial,brand_a,0,0,0,1,2,3,2,2,1,1
